Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Total_Charging_Stations,Income_Per_Car,Long_Commute,High_Environment,High_Range_Anxiety,Home_Charging,Government_Support,Charging_Access,Income_Environment,Commute_Range,Will_Buy_EV
53,1,109461.0,1,49.5,2.0,2,5,6,1,1.0,0,1,11,36487.0,1,0,1,1,0,5.4,218922.0,99.0,0
25,1,83760.0,2,44.7,3.0,1,12,9,0,2.0,1,1,21,20940.0,1,0,1,0,1,10.799999999999999,251280.0,89.4,1
30,0,60341.0,2,30.6,2.0,0,7,4,0,5.0,1,1,11,20113.666666666668,0,1,1,0,1,5.800000000000001,362046.0,61.2,0
37,1,85800.0,1,35.4,2.0,3,0,2,0,2.0,0,1,2,28600.0,0,0,1,0,0,0.8,257400.0,70.8,0
54,1,106008.0,0,22.9,1.0,2,1,1,1,5.0,1,1,2,53004.0,0,1,1,1,1,1.0,636048.0,45.8,0
65,0,98346.0,0,26.9,2.0,1,1,3,1,5.0,0,1,4,32782.0,0,1,1,1,0,1.8000000000000003,590076.0,53.8,0
44,1,120226.0,2,49.1,3.0,0,2,19,0,4.0,1,1,21,30056.5,1,1,1,0,1,8.8,601130.0,98.2,0
33,1,75736.0,1,52.1,2.0,3,2,8,1,1.0,1,1,10,25245.333333333332,1,0,1,1,1,4.4,151472.0,104.2,0
54,0,54729.0,1,67.6,1.0,1,1,9,1,1.0,1,1,10,27364.5,1,0,1,1,1,4.2,109458.0,135.2,0
59,1,56001.0,2,85.2,2.0,1,9,16,0,5.0,1,1,25,18667.0,1,1,1,0,1,11.8,336006.0,170.4,1
69,0,56342.0,2,95.0,2.0,2,9,19,1,1.0,1,1,28,18780.666666666668,1,0,1,1,1,13.0,112684.0,190.0,0
33,0,79934.0,1,40.0,2.0,0,7,5,1,3.0,1,1,12,26644.666666666668,0,1,1,1,1,6.2,319736.0,80.0,0
44,0,108205.0,2,81.3,1.0,2,13,19,1,2.0,0,1,32,54102.5,1,0,1,1,0,15.4,324615.0,162.6,0
35,0,112801.0,2,21.8,1.0,2,8,3,0,1.0,1,1,11,56400.5,0,0,1,0,1,6.0,225602.0,43.6,0
37,1,115169.0,1,27.0,1.0,1,5,1,0,3.0,1,1,6,57584.5,0,1,1,0,1,3.4,460676.0,54.0,0
56,1,77164.0,1,18.3,2.0,2,4,6,1,1.0,1,1,10,25721.333333333332,0,0,1,1,1,4.800000000000001,154328.0,36.6,0
68,1,59698.0,1,56.0,1.0,2,0,3,1,4.0,0,1,3,29849.0,1,1,1,1,0,1.2000000000000002,298490.0,112.0,0
48,1,151911.0,2,22.4,1.0,1,9,16,1,1.0,1,1,25,75955.5,0,0,1,1,1,11.8,303822.0,44.8,0
25,0,102879.0,2,50.7,3.0,2,2,8,1,1.0,0,1,10,25719.75,1,0,1,1,0,4.4,205758.0,101.4,0
66,1,59703.0,2,42.3,2.0,0,4,4,1,1.0,1,1,8,19901.0,1,0,1,1,1,4.0,119406.0,84.6,0
34,1,87624.0,2,16.7,2.0,2,8,12,0,3.0,1,1,20,29208.0,0,1,1,0,1,9.600000000000001,350496.0,33.4,1
33,1,90104.0,0,58.5,2.0,1,0,0,1,5.0,0,1,0,30034.666666666668,1,1,1,1,0,0.0,540624.0,117.0,0
61,1,116015.0,2,5.0,2.0,1,2,10,0,3.0,1,1,12,38671.666666666664,0,1,1,0,1,5.2,464060.0,10.0,0
44,0,128080.0,1,21.7,2.0,2,7,4,1,2.0,0,1,11,42693.333333333336,0,0,1,1,0,5.800000000000001,384240.0,43.4,0
60,1,84708.0,2,33.1,3.5,1,6,12,0,4.0,0,1,18,18824.0,0,1,1,0,0,8.4,423540.0,66.2,0
53,0,105536.0,2,37.1,2.0,0,10,12,1,5.0,0,1,22,35178.666666666664,0,1,1,1,0,10.8,633216.0,74.2,0
32,1,83198.0,1,45.1,1.0,1,6,9,1,2.0,0,1,15,41599.0,1,0,1,1,0,7.199999999999999,249594.0,90.2,0
35,0,137112.0,2,22.0,2.0,1,7,18,0,2.0,0,1,25,45704.0,0,0,1,0,0,11.4,411336.0,44.0,0
64,1,36128.0,2,64.7,1.0,0,12,14,1,3.0,1,1,26,18064.0,1,1,1,1,1,12.8,144512.0,129.4,0
63,1,88159.0,2,8.3,2.0,0,10,11,0,2.0,1,1,21,29386.333333333332,0,0,1,0,1,10.4,264477.0,16.6,1
34,1,74022.0,1,11.9,2.0,0,5,4,1,3.0,0,1,9,24674.0,0,1,1,1,0,4.6,296088.0,23.8,0
43,1,86147.0,0,5.0,2.0,0,1,0,1,5.0,0,1,1,28715.666666666668,0,1,1,1,0,0.6,516882.0,10.0,0
32,1,42679.0,2,19.4,1.0,1,9,8,0,1.0,1,1,17,21339.5,0,0,1,0,1,8.6,85358.0,38.8,0
64,1,45307.0,1,60.5,2.0,1,7,2,0,1.0,1,1,9,15102.333333333334,1,0,1,0,1,5.0,90614.0,121.0,0
40,1,88503.0,2,5.0,1.0,1,11,8,0,2.0,1,1,19,44251.5,0,0,1,0,1,9.8,265509.0,10.0,0
69,1,45787.0,2,45.8,2.0,2,7,9,0,3.0,0,1,16,15262.333333333334,1,1,1,0,0,7.800000000000001,183148.0,91.6,0
25,1,30000.0,1,59.2,1.0,1,0,1,1,5.0,1,1,1,15000.0,1,1,1,1,1,0.4,180000.0,118.4,0
67,1,54878.0,2,38.9,2.0,2,9,9,1,3.0,1,1,18,18292.666666666668,0,1,1,1,1,9.0,219512.0,77.8,0
37,1,51068.0,1,42.1,2.0,1,6,6,1,3.0,0,1,12,17022.666666666668,1,1,1,1,0,6.0,204272.0,84.2,0
42,1,124042.0,1,46.7,2.0,0,2,3,1,5.0,1,1,5,41347.333333333336,1,1,1,1,1,2.4000000000000004,744252.0,93.4,1
36,1,54580.0,1,60.5,1.0,1,2,9,1,4.0,0,1,11,27290.0,1,1,1,1,0,4.8,272900.0,121.0,0
40,1,39063.0,2,5.0,2.0,2,14,7,1,3.0,1,1,21,13021.0,0,1,1,1,1,11.200000000000001,156252.0,10.0,0
58,1,68155.0,1,24.4,2.0,2,1,4,0,2.0,1,1,5,22718.333333333332,0,0,1,0,1,2.2,204465.0,48.8,0
54,0,30000.0,2,35.3,2.0,2,2,8,1,3.0,0,1,10,10000.0,0,1,1,1,0,4.4,120000.0,70.6,0
49,0,47733.0,2,50.1,1.0,3,2,6,1,2.0,1,1,8,23866.5,1,0,1,1,1,3.6000000000000005,143199.0,100.2,0
61,0,56454.0,2,78.9,1.0,0,9,18,0,1.0,1,1,27,28227.0,1,0,1,0,1,12.6,112908.0,157.8,0
44,2,118688.0,2,81.1,1.0,2,13,9,1,2.0,1,1,22,59344.0,1,0,1,1,1,11.4,356064.0,162.2,0
60,1,84708.0,0,32.9,2.0,0,0,0,1,5.0,1,1,0,28236.0,0,1,1,1,1,0.0,508248.0,65.8,1
55,0,101814.0,2,5.0,2.0,2,8,8,0,2.0,1,1,16,33938.0,0,0,1,0,1,8.0,305442.0,10.0,0
35,1,116042.0,1,58.9,1.0,1,2,6,1,2.0,0,1,8,58021.0,1,0,1,1,0,3.6000000000000005,348126.0,117.8,0
64,0,63647.0,2,40.6,1.0,2,14,9,0,1.0,0,1,23,31823.5,1,0,1,0,0,12.0,127294.0,81.2,0
45,1,92502.0,2,49.3,1.0,2,13,19,0,5.0,1,1,32,46251.0,1,1,1,0,1,15.4,555012.0,98.6,0
52,1,99320.0,1,40.2,2.0,1,3,9,0,1.0,0,1,12,33106.666666666664,1,0,1,0,0,5.4,198640.0,80.4,0
33,1,34931.0,2,51.8,1.0,0,2,13,0,3.0,1,1,15,17465.5,1,1,1,0,1,6.4,139724.0,103.6,0
47,1,41847.0,2,49.4,3.0,0,7,9,1,5.0,1,1,16,10461.75,1,1,1,1,1,7.800000000000001,251082.0,98.8,0
51,0,91292.0,2,71.4,2.0,2,6,5,0,1.0,1,1,11,30430.666666666668,1,0,1,0,1,5.6,182584.0,142.8,0
48,1,63912.0,2,29.2,1.0,0,5,16,0,2.0,1,1,21,31956.0,0,0,1,0,1,9.4,191736.0,58.4,0
62,0,46223.0,1,44.3,2.0,2,3,7,1,3.0,0,1,10,15407.666666666666,1,1,1,1,0,4.6,184892.0,88.6,0
47,0,102868.0,1,52.2,1.0,2,7,2,1,4.0,1,1,9,51434.0,1,1,1,1,1,5.0,514340.0,104.4,1
34,0,84708.0,1,69.6,2.0,1,4,2,1,3.0,1,1,6,28236.0,1,1,1,1,1,3.2,338832.0,139.2,1
27,0,77759.0,0,13.0,2.0,0,1,1,1,5.0,1,1,2,25919.666666666668,0,1,1,1,1,1.0,466554.0,26.0,1
43,0,137568.0,0,15.2,1.0,2,0,1,1,2.0,0,1,1,68784.0,0,0,1,1,0,0.4,412704.0,30.4,0
53,0,68713.0,2,50.9,2.0,2,10,11,1,4.0,1,1,21,22904.333333333332,1,1,1,1,1,10.4,343565.0,101.8,1
36,0,97685.0,2,26.4,1.0,2,6,4,1,3.0,0,1,10,48842.5,0,1,1,1,0,5.199999999999999,390740.0,52.8,0
35,0,52349.0,1,74.5,1.0,0,6,5,0,4.0,0,1,11,26174.5,1,1,1,0,0,5.6,261745.0,149.0,0
55,1,90350.0,1,64.2,2.0,1,0,5,0,4.0,1,1,5,30116.666666666668,1,1,1,0,1,2.0,451750.0,128.4,0
60,1,71949.0,1,25.1,1.0,1,5,4,1,1.0,0,1,9,35974.5,0,0,1,1,0,4.6,143898.0,50.2,0
53,1,143044.0,2,27.3,2.0,2,5,13,1,4.0,1,1,18,47681.333333333336,0,1,1,1,1,8.2,715220.0,54.6,1
28,1,75226.0,1,69.5,2.0,1,7,6,0,4.0,1,1,13,25075.333333333332,1,1,1,0,1,6.6000000000000005,376130.0,139.0,0
44,1,30000.0,2,36.2,1.0,1,13,16,1,3.0,1,1,29,15000.0,0,1,1,1,1,14.2,120000.0,72.4,0
45,0,81991.0,2,19.5,2.0,1,3,9,0,3.0,0,1,12,27330.333333333332,0,1,1,0,0,5.4,327964.0,39.0,0
39,1,30000.0,2,31.0,1.0,1,13,15,0,3.0,1,1,28,15000.0,0,1,1,0,1,13.8,120000.0,62.0,0
30,0,30000.0,2,26.4,3.0,1,9,8,1,1.0,0,1,17,7500.0,0,0,1,1,0,8.6,60000.0,52.8,0
30,0,88411.0,0,41.5,3.0,2,0,3,1,4.0,1,1,3,22102.75,1,1,1,1,1,1.2000000000000002,442055.0,83.0,0
31,0,82374.0,2,81.2,2.0,2,8,14,0,3.0,0,1,22,27458.0,1,1,1,0,0,10.4,329496.0,162.4,0
49,1,135989.0,1,5.0,2.0,3,3,2,0,3.0,1,1,5,45329.666666666664,0,1,1,0,1,2.5999999999999996,543956.0,10.0,1
64,1,80731.0,2,72.7,1.0,1,9,10,1,1.0,0,1,19,40365.5,1,0,1,1,0,9.399999999999999,161462.0,145.4,0
62,0,30000.0,1,43.9,2.0,2,5,9,1,3.0,1,1,14,10000.0,1,1,1,1,1,6.6,120000.0,87.8,0
32,1,119804.0,1,80.9,2.0,0,6,7,1,4.0,1,1,13,39934.666666666664,1,1,1,1,1,6.4,599020.0,161.8,1
62,0,147235.0,2,43.2,1.0,2,11,16,1,1.0,1,1,27,73617.5,1,0,1,1,1,13.0,294470.0,86.4,0
29,1,95129.0,1,5.0,2.0,0,1,9,1,1.0,1,1,10,31709.666666666668,0,0,1,1,1,4.2,190258.0,10.0,0
48,0,161488.0,2,33.4,3.0,2,13,14,0,2.0,0,1,27,40372.0,0,0,1,0,0,13.4,484464.0,66.8,0
60,1,72262.0,2,40.9,2.0,1,8,11,0,1.0,1,1,19,24087.333333333332,1,0,1,0,1,9.2,144524.0,81.8,0
40,0,68909.0,2,44.3,2.0,2,11,4,0,4.0,1,1,15,22969.666666666668,1,1,1,0,1,8.2,344545.0,88.6,1
59,1,73458.0,1,28.2,1.0,0,3,5,1,2.0,1,1,8,36729.0,0,0,1,1,1,3.8,220374.0,56.4,0
28,1,96810.0,2,40.6,2.0,2,5,12,1,1.0,0,1,17,32270.0,1,0,1,1,0,7.800000000000001,193620.0,81.2,0
43,1,109349.0,1,5.0,2.0,0,5,1,1,3.0,1,1,6,36449.666666666664,0,1,1,1,1,3.4,437396.0,10.0,0
38,0,98035.0,2,78.0,2.0,2,7,5,0,1.0,0,1,12,32678.333333333332,1,0,1,0,0,6.2,196070.0,156.0,0
28,1,57048.0,1,40.2,2.0,2,0,5,1,2.0,1,1,5,19016.0,1,0,1,1,1,2.0,171144.0,80.4,0
62,1,73961.0,0,44.2,1.0,2,0,3,1,1.0,1,1,3,36980.5,1,0,1,1,1,1.2000000000000002,147922.0,88.4,0
54,1,66570.0,1,50.6,1.0,1,7,6,1,1.0,1,1,13,33285.0,1,0,1,1,1,6.6000000000000005,133140.0,101.2,0
47,0,78293.0,2,39.3,1.0,3,10,8,0,4.0,1,1,18,39146.5,0,1,1,0,1,9.2,391465.0,78.6,0
46,1,114842.0,2,30.0,1.0,1,2,3,0,4.0,0,1,5,57421.0,0,1,1,0,0,2.4000000000000004,574210.0,60.0,1
46,1,172772.0,1,50.4,2.0,1,6,9,1,3.0,1,1,15,57590.666666666664,1,1,1,1,1,7.199999999999999,691088.0,100.8,1
42,1,92251.0,2,61.1,1.0,2,9,16,0,5.0,1,1,25,46125.5,1,1,1,0,1,11.8,553506.0,122.2,1
48,0,70475.0,0,60.9,1.0,1,1,2,0,1.0,1,1,3,35237.5,1,0,1,0,1,1.4,140950.0,121.8,0
68,1,75946.0,0,31.6,2.0,1,1,0,1,4.0,0,1,1,25315.333333333332,0,1,1,1,0,0.6,379730.0,63.2,0
55,1,134063.0,2,48.5,2.0,2,4,12,1,5.0,1,1,16,44687.666666666664,1,1,1,1,1,7.200000000000001,804378.0,97.0,1
61,1,100474.0,1,67.2,1.0,2,6,5,1,4.0,1,1,11,50237.0,1,1,1,1,1,5.6,502370.0,134.4,1
32,0,30000.0,0,5.0,2.0,2,1,0,1,3.0,1,1,1,10000.0,0,1,1,1,1,0.6,120000.0,10.0,1
45,0,90029.0,1,53.5,2.0,2,4,5,1,2.0,0,1,9,30009.666666666668,1,0,1,1,0,4.4,270087.0,107.0,0
52,0,100447.0,1,86.0,1.0,2,1,1,1,3.0,0,1,2,50223.5,1,1,1,1,0,1.0,401788.0,172.0,0
36,0,59901.0,2,102.8,3.0,2,2,18,0,3.0,1,1,20,14975.25,1,1,1,0,1,8.4,239604.0,205.6,0
30,0,32083.0,2,19.4,1.0,1,13,19,0,4.0,1,1,32,16041.5,0,1,1,0,1,15.4,160415.0,38.8,0
47,0,132386.0,2,39.4,2.0,1,4,4,0,2.0,0,1,8,44128.666666666664,0,0,1,0,0,4.0,397158.0,78.8,0
50,1,68380.0,0,5.0,1.0,0,0,2,1,4.0,1,1,2,34190.0,0,1,1,1,1,0.8,341900.0,10.0,0
43,1,64417.0,2,5.4,1.0,2,6,14,0,5.0,0,1,20,32208.5,0,1,1,0,0,9.2,386502.0,10.8,0
38,1,45138.0,1,55.3,1.0,1,4,8,1,1.0,0,1,12,22569.0,1,0,1,1,0,5.6,90276.0,110.6,0
63,0,30033.0,2,6.5,3.5,1,4,12,0,2.0,0,1,16,6674.0,0,0,1,0,0,7.200000000000001,90099.0,13.0,0
28,0,80601.0,1,62.5,1.0,2,7,5,0,4.0,0,1,12,40300.5,1,1,1,0,0,6.2,403005.0,125.0,0
39,1,72949.0,2,17.4,2.0,1,13,4,1,4.0,1,1,17,24316.333333333332,0,1,1,1,1,9.4,364745.0,34.8,1
48,1,93316.0,2,34.5,1.0,2,14,9,0,2.0,0,1,23,46658.0,0,0,1,0,0,12.0,279948.0,69.0,0
38,1,30000.0,0,20.1,2.0,3,0,0,1,1.0,1,1,0,10000.0,0,0,1,1,1,0.0,60000.0,40.2,0
49,0,89539.0,1,32.1,2.0,2,2,5,0,3.0,1,1,7,29846.333333333332,0,1,1,0,1,3.2,358156.0,64.2,0
45,0,95247.0,2,40.2,2.0,2,3,11,0,3.0,1,1,14,31749.0,1,1,1,0,1,6.2,380988.0,80.4,0
25,1,122872.0,2,72.1,1.0,1,13,17,1,5.0,0,1,30,61436.0,1,1,1,1,0,14.600000000000001,737232.0,144.2,0
54,2,71212.0,2,54.3,2.0,3,10,12,0,5.0,1,1,22,23737.333333333332,1,1,1,0,1,10.8,427272.0,108.6,0
36,0,84708.0,1,55.1,2.0,2,1,9,1,2.0,0,1,10,28236.0,1,0,1,1,0,4.2,254124.0,110.2,0
65,0,174521.0,1,45.6,1.0,2,2,3,0,3.0,0,1,5,87260.5,1,1,1,0,0,2.4000000000000004,698084.0,91.2,0
52,0,104538.0,1,21.2,1.0,3,1,5,1,5.0,1,1,6,52269.0,0,1,1,1,1,2.6,627228.0,42.4,1
58,0,67575.0,2,29.7,2.0,2,3,13,0,3.0,1,1,16,22525.0,0,1,1,0,1,7.0,270300.0,59.4,0
49,0,40878.0,0,5.0,1.0,0,2,0,1,3.0,1,1,2,20439.0,0,1,1,1,1,1.2,163512.0,10.0,0
61,0,65775.0,0,26.9,2.0,2,0,3,1,5.0,1,1,3,21925.0,0,1,1,1,1,1.2000000000000002,394650.0,53.8,1
63,1,53486.0,1,5.0,2.0,2,6,4,1,3.0,0,1,10,17828.666666666668,0,1,1,1,0,5.199999999999999,213944.0,10.0,0
34,1,133659.0,2,19.0,1.0,1,10,18,0,3.0,1,1,28,66829.5,0,1,1,0,1,13.2,534636.0,38.0,0
28,1,72182.0,1,21.7,1.0,2,4,5,1,1.0,1,1,9,36091.0,0,0,1,1,1,4.4,144364.0,43.4,0
68,1,105134.0,0,12.7,2.0,2,2,2,1,2.0,0,1,4,35044.666666666664,0,0,1,1,0,2.0,315402.0,25.4,0
26,0,57160.0,2,94.0,2.0,3,14,5,0,3.0,1,1,19,19053.333333333332,1,1,1,0,1,10.4,228640.0,188.0,0
40,1,124982.0,2,65.3,1.0,0,9,11,0,5.0,1,1,20,62491.0,1,1,1,0,1,9.8,749892.0,130.6,1
29,1,90353.0,2,40.2,1.0,2,6,4,0,3.0,0,1,10,45176.5,1,1,1,0,0,5.199999999999999,361412.0,80.4,0
29,1,145914.0,2,32.7,1.0,2,6,6,1,1.0,0,1,12,72957.0,0,0,1,1,0,6.0,291828.0,65.4,0
61,1,84708.0,1,35.2,2.0,2,7,5,1,1.0,0,1,12,28236.0,0,0,1,1,0,6.2,169416.0,70.4,0
43,0,30244.0,2,59.4,1.0,2,11,14,1,2.0,1,1,25,15122.0,1,0,1,1,1,12.2,90732.0,118.8,0
39,1,73940.0,1,59.1,2.0,2,7,8,1,1.0,1,1,15,24646.666666666668,1,0,1,1,1,7.4,147880.0,118.2,0
53,1,117729.0,2,71.7,3.5,1,13,13,1,5.0,0,1,26,26162.0,1,1,1,1,0,13.0,706374.0,143.4,0
42,1,30000.0,2,64.5,3.0,2,2,10,0,4.0,1,1,12,7500.0,1,1,1,0,1,5.2,150000.0,129.0,0
48,0,77008.0,1,81.3,1.0,0,2,7,1,5.0,1,1,9,38504.0,1,1,1,1,1,4.0,462048.0,162.6,1
41,1,84708.0,2,15.1,3.0,3,8,7,1,4.0,0,1,15,21177.0,0,1,1,1,0,7.6,423540.0,30.2,0
31,1,44080.0,0,45.9,1.0,1,0,2,1,4.0,0,1,2,22040.0,1,1,1,1,0,0.8,220400.0,91.8,0
32,1,72754.0,1,57.4,1.0,2,2,4,1,4.0,0,1,6,36377.0,1,1,1,1,0,2.8,363770.0,114.8,0
45,1,110321.0,2,8.4,1.0,2,13,18,0,4.0,1,1,31,55160.5,0,1,1,0,1,15.0,551605.0,16.8,1
35,1,75822.0,2,73.4,2.0,2,3,4,0,2.0,1,1,7,25274.0,1,0,1,0,1,3.4,227466.0,146.8,0
67,0,126746.0,0,23.0,2.0,1,1,1,1,3.0,1,1,2,42248.666666666664,0,1,1,1,1,1.0,506984.0,46.0,1
57,1,54139.0,2,45.7,3.0,1,5,13,0,2.0,0,1,18,13534.75,1,0,1,0,0,8.2,162417.0,91.4,0
68,1,84708.0,1,44.5,2.0,0,4,7,1,4.0,1,1,11,28236.0,1,1,1,1,1,5.2,423540.0,89.0,1
64,1,79224.0,1,38.6,2.0,2,4,9,1,5.0,1,1,13,26408.0,0,1,1,1,1,6.0,475344.0,77.2,0
48,0,35750.0,1,31.7,2.0,2,1,9,0,5.0,1,1,10,11916.666666666666,0,1,1,0,1,4.2,214500.0,63.4,0
47,0,70350.0,0,5.0,1.0,2,2,0,1,3.0,1,1,2,35175.0,0,1,1,1,1,1.2,281400.0,10.0,0
46,1,124058.0,1,41.6,1.0,1,5,6,1,2.0,1,1,11,62029.0,1,0,1,1,1,5.4,372174.0,83.2,0
51,0,62144.0,2,5.0,1.0,2,5,14,0,1.0,0,1,19,31072.0,0,0,1,0,0,8.600000000000001,124288.0,10.0,0
37,1,63825.0,1,40.2,3.5,2,4,2,1,5.0,1,1,6,14183.333333333334,1,1,1,1,1,3.2,382950.0,80.4,1
27,0,95207.0,1,42.7,3.0,2,4,2,1,4.0,0,1,6,23801.75,1,1,1,1,0,3.2,476035.0,85.4,0
65,0,30000.0,2,39.3,2.0,2,7,16,1,4.0,1,1,23,10000.0,0,1,1,1,1,10.600000000000001,150000.0,78.6,0
42,0,123312.0,2,45.7,1.0,0,2,3,1,5.0,0,1,5,61656.0,1,1,1,1,0,2.4000000000000004,739872.0,91.4,0
26,1,65556.0,1,14.0,1.0,1,3,9,1,5.0,0,1,12,32778.0,0,1,1,1,0,5.4,393336.0,28.0,0
50,0,78252.0,0,44.7,1.0,2,2,3,1,5.0,1,1,5,39126.0,1,1,1,1,1,2.4000000000000004,469512.0,89.4,1
27,1,30000.0,1,37.6,1.0,1,2,2,1,5.0,1,1,4,15000.0,0,1,1,1,1,2.0,180000.0,75.2,0
41,0,97763.0,2,67.3,2.0,2,13,17,0,4.0,1,1,30,32587.666666666668,1,1,1,0,1,14.600000000000001,488815.0,134.6,0
27,1,96295.0,2,12.1,2.0,2,3,18,1,2.0,0,1,21,32098.333333333332,0,0,1,1,0,9.0,288885.0,24.2,0
49,1,144762.0,2,27.5,1.0,3,2,6,1,3.0,0,1,8,72381.0,0,1,1,1,0,3.6000000000000005,579048.0,55.0,0
40,0,114869.0,0,63.3,1.0,1,0,2,1,1.0,1,1,2,57434.5,1,0,1,1,1,0.8,229738.0,126.6,1
54,0,30000.0,0,27.3,3.0,0,1,2,1,3.0,0,1,3,7500.0,0,1,1,1,0,1.4,120000.0,54.6,0
31,0,98373.0,0,32.7,1.0,0,2,3,1,3.0,1,1,5,49186.5,0,1,1,1,1,2.4000000000000004,393492.0,65.4,1
53,1,92473.0,1,29.8,1.0,3,6,3,0,1.0,1,1,9,46236.5,0,0,1,0,1,4.8,184946.0,59.6,0
67,1,116886.0,1,69.1,2.0,1,4,6,1,2.0,0,1,10,38962.0,1,0,1,1,0,4.800000000000001,350658.0,138.2,0
47,0,133640.0,1,85.0,2.0,2,7,1,1,1.0,1,1,8,44546.666666666664,1,0,1,1,1,4.6000000000000005,267280.0,170.0,0
45,1,47885.0,2,57.9,3.0,1,6,13,1,4.0,1,1,19,11971.25,1,1,1,1,1,8.8,239425.0,115.8,1
50,0,35150.0,0,25.0,1.0,1,1,3,1,1.0,0,1,4,17575.0,0,0,1,1,0,1.8000000000000003,70300.0,50.0,0
58,0,92385.0,1,70.1,3.0,3,0,5,1,5.0,1,1,5,23096.25,1,1,1,1,1,2.0,554310.0,140.2,1
32,0,86258.0,2,55.1,2.0,2,12,10,0,3.0,0,1,22,28752.666666666668,1,1,1,0,0,11.2,345032.0,110.2,0
33,1,94589.0,2,17.3,1.0,2,4,12,1,1.0,0,1,16,47294.5,0,0,1,1,0,7.200000000000001,189178.0,34.6,0
41,0,112037.0,1,7.0,2.0,0,6,3,1,4.0,1,1,9,37345.666666666664,0,1,1,1,1,4.8,560185.0,14.0,1
54,1,98396.0,1,17.3,3.0,1,5,6,1,3.0,1,1,11,24599.0,0,1,1,1,1,5.4,393584.0,34.6,1
25,1,51207.0,1,40.8,1.0,2,1,9,1,5.0,1,1,10,25603.5,1,1,1,1,1,4.2,307242.0,81.6,1
69,0,108462.0,2,76.3,3.5,2,8,3,0,2.0,1,1,11,24102.666666666668,1,0,1,0,1,6.0,325386.0,152.6,0
65,1,40588.0,2,45.4,1.0,1,13,8,0,4.0,1,1,21,20294.0,1,1,1,0,1,11.0,202940.0,90.8,0
64,1,72483.0,0,46.4,2.0,2,0,2,1,2.0,1,1,2,24161.0,1,0,1,1,1,0.8,217449.0,92.8,0
41,1,58052.0,0,55.5,3.0,1,1,1,1,4.0,0,1,2,14513.0,1,1,1,1,0,1.0,290260.0,111.0,0
63,0,36242.0,2,46.4,2.0,1,3,15,1,3.0,1,1,18,12080.666666666666,1,1,1,1,1,7.8,144968.0,92.8,0
64,2,92760.0,1,28.9,1.0,2,1,9,1,2.0,0,1,10,46380.0,0,0,1,1,0,4.2,278280.0,57.8,0
64,0,30000.0,1,53.4,1.0,2,5,2,1,2.0,0,1,7,15000.0,1,0,1,1,0,3.8,90000.0,106.8,0
60,1,76110.0,0,45.4,2.0,3,1,1,1,4.0,0,1,2,25370.0,1,1,1,1,0,1.0,380550.0,90.8,0
50,0,59336.0,0,22.7,1.0,2,2,2,1,3.0,1,1,4,29668.0,0,1,1,1,1,2.0,237344.0,45.4,0
56,1,72047.0,2,75.0,2.0,2,10,4,0,2.0,0,1,14,24015.666666666668,1,0,1,0,0,7.6,216141.0,150.0,0
36,0,123501.0,2,33.7,2.0,0,9,15,0,1.0,0,1,24,41167.0,0,0,1,0,0,11.399999999999999,247002.0,67.4,0
